City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
231,Saint-Francois,FR,46.42,3.91,67.44,83,0,4.61,clear sky
232,Pulandian,CN,39.40,121.97,68.36,87,81,2.37,broken clouds
233,Kaitangata,NZ,-46.28,169.85,47.71,93,100,2.68,light rain
234,Simbahan,PH,6.30,120.58,82.22,76,100,6.51,overcast clouds
235,Salamiyah,SY,35.01,37.05,88.95,26,0,14.56,clear sky
236,Nichinan,JP,31.60,131.37,80.1,91,100,5.59,overcast clouds
237,Nouadhibou,MR,20.93,-17.03,82.38,61,15,20.71,sand
238,Provideniya,RU,64.38,-173.30,38.79,74,8,6.08,clear sky
239,Palauig,PH,15.44,119.90,79.2,84,100,6.53,moderate rain
240,Loncoche,CL,-39.37,-72.63,44.58,91,90,8.43,overcast clouds
241,Porto Walter,BR,-8.27,-72.74,91.74,42,2,5.55,clear sky
242,Santana Do Paraiso,BR,-19.36,-42.57,75.52,41,0,9.22,clear sky
243,Novikovo,RU,51.15,37.89,82.04,32,77,19.01,broken clouds
244,Tuatapere,NZ,-46.13,167.68,48.06,95,100,4.59,light rain
245,Dehloran,IR,32.69,47.27,108.05,6,0,10.29,clear sky
246,Lata,PT,40.16,-8.33,76.91,46,78,12.86,broken clouds
247,Kabare,CD,-2.47,28.82,67.51,69,80,2.15,light rain
248,Faanui,PF,-16.48,-151.75,73.72,78,99,1.01,moderate rain
249,Mount Gambier,AU,-37.83,140.77,53.01,76,100,14.41,overcast clouds
250,Bafilo,TG,9.35,1.27,83.41,77,91,3.53,overcast clouds
251,Mayo,US,38.89,-76.51,81.3,68,0,5.75,clear sky
252,Spas-Klepiki,RU,55.13,40.18,74.53,50,100,5.44,overcast clouds
253,Namibe,AO,-15.20,12.15,63.46,79,34,8.72,scattered clouds
254,Bengkulu,ID,-3.80,102.27,76.71,90,26,7.11,scattered clouds
255,Trogir,HR,43.51,16.25,84.25,54,0,11.5,clear sky
256,Ayotzintepec,MX,17.67,-96.13,86.16,63,85,3.09,overcast clouds
257,Tak,TH,16.58,98.83,71.78,96,100,3.83,overcast clouds
