City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
101,Tonj,SS,2022-08-12 22:38:38,7.2737,28.6822,69.66,89,99,1.39
102,Ciudad Bolivar,VE,2022-08-12 22:38:39,8.1222,-63.5497,84.49,65,97,3.98
103,Arraial Do Cabo,BR,2022-08-12 22:37:13,-22.9661,-42.0278,66.06,77,0,3.44
104,Avarua,CK,2022-08-12 22:38:39,-21.2078,-159.775,78.85,83,9,8.05
105,Hobyo,SO,2022-08-12 22:38:40,5.3505,48.5268,76.82,81,98,25.81
106,Hasaki,JP,2022-08-12 22:34:25,35.7333,140.8333,82.8,83,100,20.15
107,Norrtalje,SE,2022-08-12 22:38:40,59.758,18.705,65.01,89,10,5.19
108,Dunedin,NZ,2022-08-12 22:38:41,-45.8742,170.5036,48.79,63,91,7.0
109,Yellowknife,CA,2022-08-12 22:36:28,62.456,-114.3525,70.32,43,20,11.5
110,Rovaniemi,FI,2022-08-12 22:38:41,66.5,25.7167,51.21,66,0,5.75
111,Roald,NO,2022-08-12 22:38:42,62.5833,6.1333,63.16,94,75,3.44
112,Batouri,CM,2022-08-12 22:38:42,4.4333,14.3667,68.23,98,100,4.56
113,Nkayi,CG,2022-08-12 22:38:43,-4.1841,13.2884,72.07,71,38,2.82
114,Kodiak,US,2022-08-12 22:36:33,57.79,-152.4072,56.71,88,100,10.36
115,Bambous Virieux,MU,2022-08-12 22:38:43,-20.3428,57.7575,69.22,77,40,11.5
116,Bainbridge,US,2022-08-12 22:38:44,47.6262,-122.5212,84.51,54,0,5.75
117,Kenai,US,2022-08-12 22:35:00,60.5544,-151.2583,59.09,96,100,14.97
118,Lagos,NG,2022-08-12 22:36:09,6.5833,3.75,75.52,88,74,6.4
119,Pajapan,MX,2022-08-12 22:38:45,18.25,-94.7,80.76,79,94,4.14
120,Lompoc,US,2022-08-12 22:38:45,34.6391,-120.4579,84.34,64,20,18.41
121,Naze,JP,2022-08-12 22:38:46,28.3667,129.4833,81.52,79,100,4.05
122,Batemans Bay,AU,2022-08-12 22:38:46,-35.7167,150.1833,54.1,92,97,2.62
123,Plymouth,US,2022-08-12 22:38:47,41.8334,-70.8328,78.71,67,0,5.75
124,Cidreira,BR,2022-08-12 22:38:47,-30.1811,-50.2056,61.32,80,83,19.98
125,Linda,US,2022-08-12 22:38:48,39.1277,-121.5508,101.95,21,0,4.61
126,Castro,BR,2022-08-12 22:38:48,-24.7911,-50.0119,50.43,89,4,9.42
127,Banda Aceh,ID,2022-08-12 22:38:49,5.5577,95.3222,77.74,76,59,10.0
128,Flin Flon,CA,2022-08-12 22:38:49,54.7682,-101.865,66.04,72,100,5.75
129,Buala,SB,2022-08-12 22:38:49,-8.145,159.5921,83.53,68,60,3.29
130,Vila Velha,BR,2022-08-12 22:38:50,-20.3297,-40.2925,71.55,81,75,11.5
131,Ahtopol,BG,2022-08-12 22:38:50,42.1,27.95,68.79,87,0,4.74
132,Georgetown,MY,2022-08-12 22:38:51,5.4112,100.3354,80.53,89,20,2.3
133,Mareeba,AU,2022-08-12 22:38:51,-17.0,145.4333,69.44,81,35,2.13
134,Hirado,JP,2022-08-12 22:38:51,33.3597,129.5531,81.39,82,74,7.4
135,Lorengau,PG,2022-08-12 22:38:52,-2.0226,147.2712,83.39,70,61,11.34
136,Rio Gallegos,AR,2022-08-12 22:38:52,-51.6226,-69.2181,35.65,80,75,20.71
137,Skibbereen,IE,2022-08-12 22:39:53,51.55,-9.2667,65.1,77,0,6.78
138,Provideniya,RU,2022-08-12 22:39:53,64.3833,-173.3,50.54,94,100,4.88
139,Gorontalo,ID,2022-08-12 22:36:47,0.5412,123.0595,77.56,93,72,1.45
140,Nouadhibou,MR,2022-08-12 22:39:54,20.931,-17.0347,73.38,78,4,16.11
141,Eyl,SO,2022-08-12 22:39:20,7.9803,49.8164,77.76,68,7,23.98
142,Torbay,CA,2022-08-12 22:35:31,47.6666,-52.7314,61.39,92,100,12.66
143,Aksu,CN,2022-08-12 22:39:16,41.1231,80.2644,74.23,58,90,6.55
144,Qaanaaq,GL,2022-08-12 22:39:55,77.484,-69.3632,42.37,72,99,18.28
145,Faanui,PF,2022-08-12 22:39:55,-16.4833,-151.75,78.91,69,50,18.99
146,Old Shinyanga,TZ,2022-08-12 22:39:56,-3.55,33.4,71.67,43,91,13.85
147,Tuscaloosa,US,2022-08-12 22:36:47,33.2098,-87.5692,91.18,53,0,3.44
148,Ribas Do Rio Pardo,BR,2022-08-12 22:39:56,-20.4431,-53.7592,64.98,46,0,5.44
149,Ancud,CL,2022-08-12 22:39:57,-41.8697,-73.8203,44.76,75,100,11.25
150,Grindavik,IS,2022-08-12 22:39:57,63.8424,-22.4338,48.67,81,75,8.05
151,Stornoway,GB,2022-08-12 22:39:57,58.2093,-6.3865,55.04,94,100,1.14
152,Faya,SA,2022-08-12 22:39:58,18.3851,42.4509,68.11,67,95,6.49
153,Sangar,RU,2022-08-12 22:39:58,63.9242,127.4739,62.56,89,100,2.42
154,Mount Gambier,AU,2022-08-12 22:38:52,-37.8333,140.7667,47.25,95,96,3.31
155,Codrington,AU,2022-08-12 22:39:59,-38.2667,141.9667,49.01,90,92,8.77
156,Biak,ID,2022-08-12 22:39:51,-0.9131,122.8766,76.59,87,87,5.97
157,Fortuna,US,2022-08-12 22:40:00,40.5982,-124.1573,73.92,63,20,13.8
158,Kang,BW,2022-08-12 22:40:00,-23.6752,22.7876,60.31,18,37,4.25
159,Cherskiy,RU,2022-08-12 22:40:01,68.75,161.3,43.97,60,43,15.35
160,Pangai,TO,2022-08-12 22:40:01,-19.8,-174.35,77.11,57,20,6.91
161,Gazanjyk,TM,2022-08-12 22:40:01,39.2446,55.5154,82.36,23,0,8.81
162,College,US,2022-08-12 22:40:02,64.8569,-147.8028,76.06,48,75,4.61
163,Saldanha,ZA,2022-08-12 22:40:02,-33.0117,17.9442,46.45,75,100,5.39
164,Biloela,AU,2022-08-12 22:36:12,-24.4167,150.5,65.28,76,98,7.65
165,Monrovia,LR,2022-08-12 22:36:04,6.3005,-10.7969,74.97,83,92,11.9
166,Ambilobe,MG,2022-08-12 22:40:04,-13.2,49.05,63.18,74,11,3.76
167,Kuusamo,FI,2022-08-12 22:40:04,65.9667,29.1833,48.24,76,0,4.61
168,Savannah Bight,HN,2022-08-12 22:40:05,16.45,-85.85,82.58,78,32,15.61
169,Baiao,BR,2022-08-12 22:40:05,-2.7906,-49.6717,79.99,61,52,3.6
170,Kavieng,PG,2022-08-12 22:40:06,-2.5744,150.7967,82.78,71,100,11.01
171,Bredasdorp,ZA,2022-08-12 22:40:06,-34.5322,20.0403,45.88,83,55,4.99
172,Maine-Soroa,NE,2022-08-12 22:40:07,13.2114,12.0241,77.11,79,87,13.94
173,Murray,US,2022-08-12 22:40:07,40.6669,-111.888,93.99,37,75,11.5
174,Tiksi,RU,2022-08-12 22:39:29,71.6872,128.8694,40.51,85,99,9.78
175,Esperance,AU,2022-08-12 22:40:08,-33.8667,121.9,49.14,73,67,16.75
176,Chuy,UY,2022-08-12 22:40:08,-33.6971,-53.4616,55.02,90,100,5.99
177,Trapani,IT,2022-08-12 22:40:09,37.8333,12.6667,76.28,78,20,3.44
178,Wamba,NG,2022-08-12 22:36:51,8.9333,8.6,70.84,93,89,1.95
179,Cabo San Lucas,MX,2022-08-12 22:40:06,22.8909,-109.9124,92.5,62,0,11.5
180,Tigil,RU,2022-08-12 22:40:10,57.8,158.6667,67.14,72,97,6.82
181,Nyurba,RU,2022-08-12 22:40:10,63.2842,118.3319,52.93,94,100,6.76
182,Iguape,BR,2022-08-12 22:40:11,-24.7081,-47.5553,62.98,83,19,9.17
183,Chokurdakh,RU,2022-08-12 22:36:53,70.6333,147.9167,43.21,61,100,8.34
184,Jibuti,DJ,2022-08-12 22:40:11,11.5,42.5,76.78,72,100,6.04
185,Fairbanks,US,2022-08-12 22:37:30,64.8378,-147.7164,76.08,49,0,4.61
186,Christchurch,NZ,2022-08-12 22:39:44,-43.5333,172.6333,50.32,64,24,3.44
187,Paciran,ID,2022-08-12 22:41:12,-6.8767,112.3761,78.03,87,13,6.76
